"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000002834",7168.82575403564,-0.398577027515812,0.102371469002604,-3.89343858595675,9.88332318375863e-05,0.00153323506986773
"ENSG00000003096",377.977300973334,0.920204124263585,0.186973554303666,4.92157368292348,8.58510675885992e-07,2.42852677493777e-05
"ENSG00000003402",2546.61419680864,-1.18342545241097,0.16355923194096,-7.23545493805052,4.63971177311536e-13,5.56316408408703e-11
"ENSG00000003987",25.5043187098086,-0.988022127426788,0.326515195905805,-3.02596062852713,0.0024784457295148,0.0219761039518285
"ENSG00000004059",1225.35425318088,-0.369205502311227,0.104110555657008,-3.5462830832214,0.000390706253238377,0.00492289879080356
"ENSG00000004487",1237.79987702344,0.298900502409832,0.0829066229820873,3.60526688530556,0.000311832297889409,0.00405550131307235
"ENSG00000004700",1035.33054232716,-0.366665403657817,0.116614466780591,-3.14425314268851,0.00166511331260273,0.0159680758073899
"ENSG00000004799",914.379014067714,-2.5440316434074,0.901187392370752,-2.82297740175305,0.00475799252070841,0.0362110118744331
"ENSG00000004846",17.9991680687101,1.88140579346493,0.699285278742741,2.69046961327078,0.00713515327210324,0.049388016224223
"ENSG00000004866",412.129049598094,0.582198134245844,0.178173953093345,3.26758274224759,0.00108470154414862,0.0113829351767375
"ENSG00000005007",2261.97159931419,-0.241512688686799,0.0840701647407505,-2.87275146220492,0.00406914098857573,0.0320852716472974
"ENSG00000005100",485.155503010875,-0.371204801079659,0.13231165900711,-2.80553357024805,0.00502333484455678,0.0377321878692758
"ENSG00000005249",298.031602932061,-0.647094320428475,0.215905729157512,-2.99711509719315,0.00272547790568316,0.0236585739734337
"ENSG00000005471",33.6639882396994,1.21874995774277,0.434357059767781,2.80587118439917,0.00501807485288415,0.037726909846623
"ENSG00000005812",1409.31948532894,-0.473648449143803,0.166875370895841,-2.83833645792727,0.00453493519497226,0.0348759621641396
"ENSG00000006025",160.284813182945,0.929615391135627,0.250706646794032,3.70798063403303,0.000208918629096604,0.002901907863797
"ENSG00000006114",995.873717984987,0.514658324372858,0.102141243545517,5.03869256441458,4.68722682625932e-07,1.42340049944493e-05
"ENSG00000006451",1095.51669885864,0.580354497381907,0.19177528391484,3.02622155230192,0.00247630783100709,0.0219676281810343
"ENSG00000006607",877.94200094218,-0.598070565154204,0.173932248246144,-3.4385260420933,0.000584890277211142,0.0068365948440057
"ENSG00000006788",10.2533800835302,-3.16906966991619,1.06635566731726,-2.97186929937638,0.00295992659941235,0.025118829155287
"ENSG00000006831",1093.98214371166,-0.241058056414181,0.0815995854740908,-2.95415785525922,0.00313523590357537,0.0262604141498192
"ENSG00000007866",1619.47548903829,-0.596709338421381,0.161887800553255,-3.68594382271002,0.000227856613503694,0.00312294628463581
"ENSG00000007944",339.643688264593,0.500203233841198,0.145787580316251,3.43104146976119,0.000601268675415481,0.00700600522419856
"ENSG00000008083",301.247719397731,-0.451953294827148,0.14019827574951,-3.22367227707311,0.0012655814669279,0.0128159687379731
"ENSG00000008130",1664.47375702091,-0.793989392538643,0.145234567872253,-5.46694498541856,4.57858079010775e-08,1.82995535449791e-06
"ENSG00000008256",3716.57738197619,-1.20460599147233,0.204365614829746,-5.89436727149949,3.76119777299522e-09,1.92567109121532e-07
"ENSG00000008311",721.942089206498,-1.1077708147777,0.16962582346805,-6.53067317304052,6.54747343190411e-11,5.00760468032666e-09
"ENSG00000008513",1568.49022726857,0.575941985848562,0.214489917435732,2.68517043940367,0.00724928278669595,0.0499547351096567
"ENSG00000008710",5426.4748906373,-0.491574442859735,0.179460599142581,-2.73917754208086,0.0061593102054802,0.0441120540149709
"ENSG00000008853",558.505610561996,-0.566903215286318,0.175620442479513,-3.228002431166,0.00124657914675818,0.0126889087912556
"ENSG00000009335",2101.66872676796,-0.207579605859771,0.0746319579719542,-2.78137692619263,0.00541288502188831,0.0399717176785204
"ENSG00000009413",7584.98097699963,-1.12006249769771,0.168388072372434,-6.65167361272715,2.89778760410797e-11,2.43689514128266e-09
"ENSG00000009780",174.392845904975,-0.587181816207115,0.207236210635634,-2.83339390546716,0.00460565936062007,0.0352973934915975
"ENSG00000010017",1856.34455429236,-0.737040834289781,0.159663273157522,-4.61622024723634,3.90792206135159e-06,9.383557042664e-05
"ENSG00000010256",1795.21830004503,-0.469999351127252,0.111330566559394,-4.22165597151176,2.42514056232699e-05,0.000463695857519003
"ENSG00000010278",3881.37270015337,-0.569682714795423,0.209492180922153,-2.71935072845089,0.00654102107469631,0.0462751719349947
"ENSG00000010818",1411.20251251096,0.348979302165738,0.120590017257729,2.89393193650423,0.00380450620939054,0.0303984298802765
"ENSG00000011198",1159.4037990956,-1.08961551650909,0.202040001347418,-5.39306825006122,6.92646284251842e-08,2.61239750049636e-06
"ENSG00000011304",3588.89945478115,-0.347137109421297,0.120163778084738,-2.88886647003142,0.00386633216992859,0.0308393920077781
